# name zcmb mb dmb in_pantheon
AT2017cfc 0.02499 15.776655947403457 0.1882726108495853 False
2011dn 0.02443 15.2035201913196 0.3321690054061629 False
2007sw 0.025 15.660225862936429 0.3052920529606393 False
2012bh 0.025 15.947425862936429 0.23674706829424907 False
370356 0.025 15.97622586293643 0.20258307981152285 True
2002he 0.02469 15.861493443246742 0.15294518796923054 True
2002he 0.02469 15.86209344324674 0.1727271664415973 True
2018jjd 0.02547 15.730924737416455 0.18330719811319288 False
2002bf 0.02494 15.692286759100186 0.23920400187750335 True
2002bf 0.02494 15.654486759100186 0.2677080016775977 True
ASASSN-16bq 0.02582 15.937084784167551 0.17462600256823357 False
PS15ahs 0.02522 15.943785850889236 0.18396603900623654 False
PSNJ0153424 0.02474 15.927872522766496 0.2321600019324512 False
SN2017hn 0.02492 15.811368166450539 0.18825100238696071 False
1992ag 0.02592 15.515560016032943 0.34363329363060885 False
SN2017ms 0.02538 15.867006789043293 0.19835100226300792 False
PSNJ2352371 0.02525 16.145796429955524 0.1986640022553269 False
2005M 0.02584 16.04221780734355 0.17750306316949058 True
2005M 0.02584 15.857217807343554 0.19639505709297309 True
2005M 0.02584 15.584117807343555 0.34726603228872266 True
SN2017mf 0.02618 16.059306497063798 0.17667900253581736 False
2005mc 0.02597 16.034236229446023 0.28764400155858816 True
2005mc 0.02597 16.091636229446024 0.3221020013918527 True
ASASSN-15uu 0.02579 15.767205301303123 0.37136600120551 False
2005ms 0.02595 16.056545629982764 0.17754600252496047 True
1999gp 0.02603 16.014276738667597 0.1813740222101463 False
1999gp 0.02603 16.0346767386676 0.20410501973662148 False
ASASSN-15mf 0.02691 15.867240455061614 0.17934800249525867 False
ASASSN-17at 0.02643 16.000543650413164 0.18479800242438532 False
SNF20071021-000 0.0264 16.06686273886282 0.21436446924362293 False
2013fn 0.02724 16.034108256650153 0.29768503749122827 False
2002eb 0.02633 16.011804832192222 0.1702313639690325 False
2007co 0.02655 16.089832895676444 0.22920423612283256 True
2007co 0.02655 15.857932895676445 0.34553815662622733 True
2007co 0.02655 15.973132895676445 0.2602482079566566 True
1992P 0.02643 16.062370718843738 0.2184750020507967 False
2007su 0.0266 16.048599851654394 0.351818001270189 True
ASASSN-15fa 0.02721 16.270325203656654 0.2237130019973031 False
2005na 0.02717 15.861099576084637 0.17060116774212356 True
2005na 0.02717 15.901899576084638 0.18489515477420218 True
2005na 0.02717 15.859799576084638 0.1681411701962853 True
ASASSN-16av 0.02676 16.096006441777693 0.28861507601676895 False
2006gj 0.0277 16.471532603616055 0.3205641391898831 False
2010ii 0.02704 15.875275512725347 0.18278706107505927 False
2006ev 0.02759 16.418492321428126 0.21466200207793734 True
PSNJ0252467 0.02748 16.107011210799254 0.1887060212892799 False
2009aa 0.02827 16.066977892153773 0.1713018444894463 False
2011hb 0.02775 16.03173945080781 0.2916877398260405 False
2005eq 0.02831 16.25179114645383 0.16084200277076285 True
2005eq 0.02831 16.30199114645383 0.15792600282192315 True
2005eq 0.02831 16.30369114645383 0.15870500280807182 True
2003U 0.02794 16.01316203421507 0.17548 True
2009ad 0.02834 16.11887330596516 0.158011 True
2009ad 0.02834 16.08897330596516 0.15418 True
2002el 0.02778 15.849893786623184 0.1797175583415302 False
2008ar 0.02732 16.18623214579278 0.17828900250876104 True
2008ar 0.02732 16.040732145792777 0.17618600253870623 True
2008ar 0.02732 16.10843214579278 0.17820900250988725 True
AT2017ns 0.02802 15.94171636299348 0.3656109511508049 False
2004gs 0.02829 16.348480254868406 0.2334530019118515 False
SN2017ckx 0.02779 16.407931446177138 0.249928 False
2007is 0.02953 16.0919 0.2096470021219833 True
2013bs 0.02859 16.1572466809027 0.20009732069703265 False
1998ab 0.02806 15.697284731098947 0.2261430019742658 False
1993ah 0.02828 16.021147080512893 0.6545603001542595 False
2006qo 0.02871 16.22561781420845 0.2740491040921465 True
ASASSN-15la 0.02845 15.804130591469796 0.21699000205574262 False
